geneNcbiID,geneDSI,geneDPI,diseaseName,score,gene_index,disease_index
2695,0.477,0.87,Type 2 Diabetes,1.0,52,0
2896,0.402,0.913,Frontotemporal dementia,1.0,53,11
472,0.352,0.913,Breast Cancer,1.0,48,1
1401,0.251,1.0,Rheumatoid arthritis,1.0,29,10
1756,0.409,0.913,Duchenne Muscular Dystrophy,1.0,14,9
596,0.299,0.913,Breast Cancer,1.0,54,1
207,0.283,0.957,Colorectal Cancer,1.0,23,7
627,0.324,0.957,Alzheimer Disease,1.0,55,2
54209,0.456,0.957,Alzheimer Disease,1.0,56,2
6622,0.317,0.957,Alzheimer Disease,1.0,4,2
1813,0.4,0.957,Schizophrenias,1.0,57,14
2932,0.377,0.957,Alzheimer Disease,1.0,58,2
1312,0.381,0.957,Schizophrenias,1.0,59,14
11200,0.42,0.913,Breast Cancer,1.0,60,1
5243,0.326,0.957,Breast Cancer,1.0,61,1
11200,0.42,0.913,Breast Cancer,1.0,60,1
3569,0.233,0.957,Type 2 Diabetes,1.0,62,0
27185,0.54,0.87,Schizophrenias,1.0,63,14
3643,0.394,0.913,Type 2 Diabetes,1.0,64,0
9370,0.332,0.957,Cardiovascular Diseases,1.0,25,12
4318,0.293,0.957,Breast Cancer,1.0,65,1
3091,0.32,0.957,Breast Cancer,1.0,66,1
79728,0.454,0.87,Breast Cancer,1.0,67,1
2065,0.389,0.913,Breast Cancer,1.0,68,1
2904,0.423,0.957,Schizophrenias,1.0,69,14
2645,0.491,0.87,Type 2 Diabetes,1.0,70,0
3553,0.265,0.957,Rheumatoid arthritis,1.0,71,10
5743,0.323,0.957,Breast Cancer,1.0,72,1
5664,0.474,0.87,Alzheimer Disease,1.0,73,2
3569,0.233,0.957,Breast Cancer,1.0,62,1
1191,0.39,0.913,Alzheimer Disease,1.0,74,2
2906,0.452,0.957,Schizophrenias,1.0,75,14
338,0.373,0.913,Cardiovascular Diseases,1.0,76,12
348,0.326,0.957,Cardiovascular Diseases,1.0,6,12
2572,0.498,0.87,Type 1 Diabetes,1.0,77,3
338,0.373,0.913,Type 2 Diabetes,1.0,76,0
7298,0.397,0.957,Colorectal Cancer,1.0,78,7
3479,0.284,0.957,Type 2 Diabetes,1.0,79,0
79068,0.425,0.957,Type 2 Diabetes,1.0,80,0
169026,0.57,0.87,Type 2 Diabetes,1.0,81,0
7040,0.264,0.913,Colorectal Cancer,1.0,82,7
56729,0.401,0.957,Type 2 Diabetes,1.0,83,0
3605,0.309,0.957,Rheumatoid arthritis,1.0,84,10
7124,0.226,0.957,Systemic lupus erythematosus,1.0,17,15
7124,0.226,0.957,Alzheimer Disease,1.0,17,2
627,0.324,0.957,Bipolar Disorder,1.0,55,16
3667,0.453,0.913,Type 2 Diabetes,1.0,85,0
3586,0.27,0.957,Systemic lupus erythematosus,1.0,86,15
6927,0.392,0.913,Type 2 Diabetes,1.0,87,0
4129,0.484,0.957,Parkinson Disease,1.0,88,4
5770,0.473,0.913,Type 2 Diabetes,1.0,89,0
3479,0.284,0.957,Type 1 Diabetes,1.0,79,3
1493,0.354,0.957,Type 1 Diabetes,1.0,90,3
5563,0.385,0.913,Type 2 Diabetes,1.0,91,0
3767,0.479,0.87,Type 2 Diabetes,1.0,92,0
26191,0.435,0.957,Rheumatoid arthritis,1.0,93,10
2263,0.341,0.913,Breast Cancer,1.0,94,1
4893,0.35,0.87,Colorectal Cancer,1.0,95,7
6326,0.45,0.913,Epilepsies,1.0,96,13
4313,0.317,0.913,Breast Cancer,1.0,97,1
627,0.324,0.957,Parkinson Disease,1.0,55,4
2668,0.423,0.913,Parkinson Disease,1.0,98,4
5798,0.582,0.696,Type 1 Diabetes,1.0,99,3
183,0.339,0.957,Cardiovascular Diseases,1.0,100,12
2263,0.341,0.913,Breast Cancer,1.0,94,1
355,0.33,0.913,Systemic lupus erythematosus,1.0,101,15
7124,0.226,0.957,Type 1 Diabetes,1.0,17,3
3356,0.436,0.913,Schizophrenias,1.0,102,14
1636,0.306,0.957,Alzheimer Disease,1.0,41,2
54901,0.585,0.696,Type 2 Diabetes,1.0,103,0
1636,0.306,0.957,Type 1 Diabetes,1.0,41,3
2688,0.313,0.957,Type 1 Diabetes,1.0,104,3
6653,0.544,0.783,Alzheimer Disease,1.0,105,2
4089,0.367,0.87,Colorectal Cancer,1.0,106,7
3569,0.233,0.957,Colorectal Cancer,1.0,62,7
5950,0.438,0.913,Type 2 Diabetes,1.0,107,0
3553,0.265,0.957,Alzheimer Disease,1.0,71,2
3784,0.448,0.957,Type 2 Diabetes,1.0,108,0
3553,0.265,0.957,Type 2 Diabetes,1.0,71,0
3785,0.496,0.87,Epilepsies,1.0,109,13
3172,0.437,0.913,Type 2 Diabetes,1.0,110,0
1814,0.478,0.913,Schizophrenias,1.0,111,14
1029,0.31,0.913,Breast Cancer,1.0,112,1
1605,0.459,0.913,Duchenne Muscular Dystrophy,1.0,113,9
2550,0.422,0.957,Schizophrenias,1.0,114,14
7042,0.308,0.913,Colorectal Cancer,1.0,115,7
3458,0.27,1.0,Rheumatoid arthritis,1.0,116,10
26191,0.435,0.957,Type 1 Diabetes,1.0,93,3
6462,0.394,0.957,Type 2 Diabetes,1.0,117,0
3663,0.424,0.87,Systemic lupus erythematosus,1.0,118,15
51738,0.37,0.957,Type 2 Diabetes,1.0,119,0
1139,0.457,0.957,Schizophrenias,1.0,120,14
3265,0.346,0.913,Breast Cancer,1.0,121,1
3558,0.297,0.957,Systemic lupus erythematosus,1.0,122,15
627,0.324,0.957,Huntington Disease,1.0,55,6
595,0.313,0.957,Colorectal Cancer,1.0,43,7
207,0.283,0.957,Type 2 Diabetes,1.0,23,0
91752,0.625,0.609,Schizophrenias,1.0,123,14
6334,0.424,0.957,Epilepsies,1.0,124,13
3586,0.27,0.957,Rheumatoid arthritis,1.0,86,10
3845,0.283,0.913,Breast Cancer,1.0,11,1
6517,0.498,0.87,Type 2 Diabetes,1.0,125,0
5888,0.43,0.913,Breast Cancer,1.0,126,1
8291,0.531,0.87,Duchenne Muscular Dystrophy,1.0,127,9
55737,0.599,0.783,Parkinson Disease,1.0,128,4
2066,0.4,0.957,Schizophrenias,1.0,129,14
4846,0.361,1.0,Cardiovascular Diseases,1.0,130,12
6223,0.464,0.913,Sickle Cell Anemia,1.0,131,17
6928,0.408,0.913,Type 2 Diabetes,1.0,132,0
1401,0.251,1.0,Systemic lupus erythematosus,1.0,29,15
5243,0.326,0.957,Epilepsies,1.0,61,13
10133,0.531,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,133,8
7124,0.226,0.957,Schizophrenias,1.0,17,14
2904,0.423,0.957,Alzheimer Disease,1.0,69,2
4846,0.361,1.0,Type 2 Diabetes,1.0,130,0
3479,0.284,0.957,Alzheimer Disease,1.0,79,2
10891,0.418,0.957,Type 2 Diabetes,1.0,134,0
83990,0.482,0.87,Breast Cancer,1.0,135,1
1806,0.452,0.913,Colorectal Cancer,1.0,136,7
3119,0.421,0.957,Type 1 Diabetes,1.0,137,3
3558,0.297,0.957,Rheumatoid arthritis,1.0,122,10
10347,0.577,0.696,Alzheimer Disease,1.0,138,2
4023,0.428,0.87,Type 2 Diabetes,1.0,139,0
1029,0.31,0.913,Colorectal Cancer,1.0,112,7
177,0.386,0.913,Type 2 Diabetes,1.0,140,0
177,0.386,0.913,Alzheimer Disease,1.0,140,2
332,0.355,0.913,Colorectal Cancer,1.0,141,7
3458,0.27,1.0,Type 1 Diabetes,1.0,116,3
4929,0.475,0.913,Parkinson Disease,1.0,142,4
2896,0.402,0.913,Alzheimer Disease,1.0,53,2
197,0.445,0.913,Type 2 Diabetes,1.0,143,0
6311,0.483,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,144,8
6532,0.392,0.957,Bipolar Disorder,1.0,145,16
4000,0.373,0.913,Duchenne Muscular Dystrophy,1.0,146,9
3552,0.323,0.957,Rheumatoid arthritis,1.0,147,10
580,0.547,0.783,Breast Cancer,1.0,148,1
51284,0.436,0.913,Systemic lupus erythematosus,1.0,149,15
3651,0.498,0.826,Type 2 Diabetes,1.0,150,0
2646,0.538,0.826,Type 2 Diabetes,1.0,151,0
1312,0.381,0.957,Bipolar Disorder,1.0,59,16
1493,0.354,0.957,Systemic lupus erythematosus,1.0,90,15
3559,0.38,0.957,Type 1 Diabetes,1.0,152,3
4744,0.515,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,153,8
4760,0.469,0.957,Type 2 Diabetes,1.0,154,0
958,0.389,0.957,Rheumatoid arthritis,1.0,155,10
640,0.553,0.826,Systemic lupus erythematosus,1.0,156,15
8878,0.432,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,157,8
7040,0.264,0.913,Cystic Fibrosis,1.0,82,5
3908,0.491,0.913,Duchenne Muscular Dystrophy,1.0,158,9
11277,0.479,0.826,Systemic lupus erythematosus,1.0,159,15
50943,0.369,0.957,Type 1 Diabetes,1.0,160,3
3990,0.485,0.87,Type 2 Diabetes,1.0,161,0
1773,0.486,0.87,Systemic lupus erythematosus,1.0,162,15
5078,0.612,0.739,Type 2 Diabetes,1.0,163,0
23025,0.602,0.826,Amyotrophic Lateral Sclerosis (ALS),1.0,164,8
4843,0.333,1.0,Type 2 Diabetes,1.0,165,0
208,0.46,0.87,Type 2 Diabetes,1.0,166,0
6444,0.571,0.826,Duchenne Muscular Dystrophy,1.0,167,9
6445,0.576,0.826,Duchenne Muscular Dystrophy,1.0,168,9
5506,0.541,0.913,Type 2 Diabetes,1.0,169,0
755,0.598,0.783,Amyotrophic Lateral Sclerosis (ALS),1.0,170,8
10891,0.418,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,134,8
65078,0.589,0.826,Schizophrenias,1.0,171,14
6443,0.434,0.913,Duchenne Muscular Dystrophy,1.0,172,9
5133,0.323,0.957,Systemic lupus erythematosus,0.9999999999999999,173,15
26047,0.468,0.913,Schizophrenias,0.9999999999999999,174,14
1380,0.474,0.87,Systemic lupus erythematosus,0.9999999999999999,175,15
2571,0.503,0.957,Bipolar Disorder,0.9999999999999999,176,16
2641,0.351,0.957,Type 2 Diabetes,0.9500000000000001,177,0
1588,0.364,0.957,Breast Cancer,0.9500000000000001,178,1
5241,0.364,0.913,Breast Cancer,0.9500000000000001,179,1
3039,0.256,1.0,Type 2 Diabetes,0.9500000000000001,180,0
1956,0.265,0.957,Breast Cancer,0.9500000000000001,26,1
207,0.283,0.957,Breast Cancer,0.9500000000000001,23,1
4288,0.296,0.913,Breast Cancer,0.9500000000000001,181,1
3479,0.284,0.957,Breast Cancer,0.9500000000000001,79,1
3569,0.233,0.957,Rheumatoid arthritis,0.9500000000000001,62,10
1950,0.313,0.913,Breast Cancer,0.9500000000000001,182,1
1756,0.409,0.913,Duchenne Muscular Dystrophy,0.9500000000000001,14,9
367,0.331,0.957,Breast Cancer,0.9500000000000001,183,1
1436,0.335,0.957,Alzheimer Disease,0.9500000000000001,184,2
627,0.324,0.957,Schizophrenias,0.9500000000000001,55,14
2100,0.373,0.913,Breast Cancer,0.9500000000000001,185,1
23435,0.464,0.957,Frontotemporal dementia,0.9500000000000001,20,11
1636,0.306,0.957,Cardiovascular Diseases,0.9500000000000001,41,12
142,0.366,0.957,Breast Cancer,0.9500000000000001,186,1
6774,0.314,0.913,Breast Cancer,0.9500000000000001,187,1
3480,0.348,0.913,Breast Cancer,0.9500000000000001,188,1
3952,0.312,0.957,Breast Cancer,0.9500000000000001,47,1
6531,0.432,0.957,Parkinson Disease,0.9500000000000001,189,4
5743,0.323,0.957,Colorectal Cancer,0.9500000000000001,72,7
6714,0.38,0.957,Breast Cancer,0.9500000000000001,190,1
7124,0.226,0.957,Breast Cancer,0.9500000000000001,17,1
84062,0.553,0.826,Schizophrenias,0.9500000000000001,191,14
2905,0.465,0.957,Schizophrenias,0.9500000000000001,192,14
2064,0.298,0.957,Colorectal Cancer,0.9500000000000001,2,7
7424,0.321,0.957,Breast Cancer,0.9500000000000001,193,1
324,0.364,0.913,Colorectal Cancer,0.9500000000000001,34,7
999,0.319,0.913,Colorectal Cancer,0.9500000000000001,46,7
4609,0.312,0.913,Colorectal Cancer,0.9500000000000001,194,7
2475,0.289,0.957,Colorectal Cancer,0.9500000000000001,42,7
2244,0.336,0.957,Cardiovascular Diseases,0.9500000000000001,195,12
7054,0.446,0.913,Parkinson Disease,0.9500000000000001,196,4
332,0.355,0.913,Breast Cancer,0.9500000000000001,141,1
26291,0.429,0.957,Type 2 Diabetes,0.9500000000000001,197,0
1565,0.415,1.0,Breast Cancer,0.9500000000000001,198,1
5728,0.29,0.913,Colorectal Cancer,0.9500000000000001,44,7
7421,0.336,0.957,Breast Cancer,0.9500000000000001,199,1
2956,0.434,0.913,Colorectal Cancer,0.9500000000000001,200,7
2950,0.365,0.957,Breast Cancer,0.9500000000000001,201,1
213,0.278,0.957,Cardiovascular Diseases,0.9500000000000001,202,12
7423,0.33,0.957,Breast Cancer,0.9500000000000001,203,1
5465,0.391,0.913,Type 2 Diabetes,0.9500000000000001,204,0
3569,0.233,0.957,Systemic lupus erythematosus,0.9500000000000001,62,15
5649,0.45,0.957,Schizophrenias,0.9500000000000001,205,14
2569,0.43,0.957,Schizophrenias,0.9500000000000001,206,14
4311,0.349,0.957,Alzheimer Disease,0.9500000000000001,207,2
775,0.413,0.957,Bipolar Disorder,0.9500000000000001,208,16
4851,0.347,0.957,Breast Cancer,0.9500000000000001,209,1
9429,0.378,0.913,Breast Cancer,0.9500000000000001,210,1
23569,0.496,0.87,Rheumatoid arthritis,0.9500000000000001,211,10
6387,0.367,0.913,Breast Cancer,0.9500000000000001,212,1
857,0.375,0.913,Breast Cancer,0.9500000000000001,213,1
3845,0.283,0.913,Breast Cancer,0.9500000000000001,11,1
1543,0.399,0.957,Breast Cancer,0.9500000000000001,214,1
7431,0.341,0.913,Breast Cancer,0.9500000000000001,215,1
11132,0.582,0.696,Type 2 Diabetes,0.9500000000000001,216,0
857,0.375,0.913,Breast Cancer,0.9500000000000001,213,1
5888,0.43,0.913,Breast Cancer,0.9500000000000001,126,1
3791,0.351,0.957,Breast Cancer,0.9500000000000001,217,1
596,0.299,0.913,Colorectal Cancer,0.9500000000000001,54,7
5468,0.334,0.957,Alzheimer Disease,0.9500000000000001,31,2
6615,0.434,0.957,Breast Cancer,0.9500000000000001,218,1
6790,0.417,0.913,Breast Cancer,0.9500000000000001,219,1
10413,0.374,0.913,Breast Cancer,0.9500000000000001,220,1
3117,0.443,0.913,Type 1 Diabetes,0.9500000000000001,221,3
3169,0.477,0.913,Breast Cancer,0.9500000000000001,222,1
1440,0.299,0.957,Breast Cancer,0.9500000000000001,223,1
3569,0.233,0.957,Schizophrenias,0.9500000000000001,62,14
23400,0.534,0.826,Parkinson Disease,0.9500000000000001,224,4
3458,0.27,1.0,Breast Cancer,0.9500000000000001,116,1
4524,0.338,0.913,Cardiovascular Diseases,0.9500000000000001,225,12
7124,0.226,0.957,Colorectal Cancer,0.9500000000000001,17,7
7422,0.247,0.957,Rheumatoid arthritis,0.9500000000000001,226,10
3553,0.265,0.957,Breast Cancer,0.9500000000000001,71,1
2260,0.339,0.957,Breast Cancer,0.9500000000000001,227,1
1312,0.381,0.957,Breast Cancer,0.9500000000000001,59,1
207,0.283,0.957,Schizophrenias,0.9500000000000001,23,14
5020,0.413,0.957,Schizophrenias,0.9500000000000001,228,14
7153,0.473,0.913,Breast Cancer,0.9500000000000001,229,1
2194,0.425,0.957,Breast Cancer,0.9500000000000001,230,1
7415,0.445,0.957,Amyotrophic Lateral Sclerosis (ALS),0.9500000000000001,231,8
3569,0.233,0.957,Type 1 Diabetes,0.9500000000000001,62,3
3557,0.353,0.957,Rheumatoid arthritis,0.9500000000000001,232,10
712,0.457,0.913,Systemic lupus erythematosus,0.9500000000000001,233,15
3586,0.27,0.957,Type 2 Diabetes,0.9500000000000001,86,0
7422,0.247,0.957,Alzheimer Disease,0.9500000000000001,226,2
1610,0.556,0.913,Schizophrenias,0.9500000000000001,234,14
2642,0.591,0.696,Type 2 Diabetes,0.9500000000000001,235,0
3416,0.575,0.826,Type 2 Diabetes,0.9500000000000001,236,0
4353,0.358,0.957,Cardiovascular Diseases,0.9500000000000001,237,12
6647,0.334,1.0,Type 2 Diabetes,0.9500000000000001,12,0
1644,0.484,0.957,Parkinson Disease,0.9500000000000001,238,4
5426,0.474,0.87,Colorectal Cancer,0.9500000000000001,239,7
6571,0.514,0.826,Parkinson Disease,0.9500000000000001,240,4
10858,0.605,0.696,Alzheimer Disease,0.9500000000000001,241,2
3358,0.506,0.826,Schizophrenias,0.9500000000000001,242,14
6285,0.393,0.957,Schizophrenias,0.9500000000000001,243,14
2903,0.476,0.957,Epilepsies,0.9500000000000001,244,13
2915,0.494,0.957,Schizophrenias,0.9500000000000001,245,14
2214,0.419,0.913,Rheumatoid arthritis,0.9500000000000001,246,10
948,0.409,0.913,Type 2 Diabetes,0.9500000000000001,247,0
1639,0.557,0.696,Amyotrophic Lateral Sclerosis (ALS),0.9500000000000001,248,8
4204,0.405,0.957,Epilepsies,0.9500000000000001,249,13
4129,0.484,0.957,Alzheimer Disease,0.9500000000000001,88,2
6648,0.353,1.0,Type 2 Diabetes,0.9500000000000001,250,0
6720,0.446,0.913,Type 2 Diabetes,0.9500000000000001,251,0
80339,0.501,0.826,Type 2 Diabetes,0.9500000000000001,252,0
6513,0.38,0.913,Type 2 Diabetes,0.9500000000000001,253,0
847,0.35,1.0,Type 2 Diabetes,0.9500000000000001,254,0
59067,0.435,0.913,Systemic lupus erythematosus,0.9500000000000001,255,15
958,0.389,0.957,Systemic lupus erythematosus,0.9500000000000001,155,15
3586,0.27,0.957,Schizophrenias,0.9500000000000001,86,14
6934,0.457,0.913,Colorectal Cancer,0.9500000000000001,37,7
1401,0.251,1.0,Cardiovascular Diseases,0.9500000000000001,29,12
64135,0.409,0.913,Systemic lupus erythematosus,0.9500000000000001,256,15
5649,0.45,0.957,Bipolar Disorder,0.9500000000000001,205,16
3162,0.343,0.957,Type 2 Diabetes,0.9500000000000001,257,0
8313,0.488,0.87,Colorectal Cancer,0.9500000000000001,258,7
149233,0.457,0.913,Rheumatoid arthritis,0.9500000000000001,259,10
4908,0.469,0.913,Alzheimer Disease,0.9500000000000001,260,2
5743,0.323,0.957,Cardiovascular Diseases,0.9500000000000001,72,12
4988,0.446,0.957,Schizophrenias,0.9500000000000001,261,14
2876,0.423,0.913,Cardiovascular Diseases,0.9500000000000001,262,12
1116,0.376,0.957,Schizophrenias,0.9500000000000001,263,14
6833,0.474,0.87,Type 2 Diabetes,0.95,264,0
6775,0.436,0.913,Systemic lupus erythematosus,0.95,265,15
7173,0.426,0.87,Hypothyroidism,0.95,266,18
4524,0.338,0.913,Schizophrenias,0.95,225,14
283,0.392,0.957,Amyotrophic Lateral Sclerosis (ALS),0.95,267,8
50506,0.496,0.913,Hypothyroidism,0.95,268,18
288,0.539,0.913,Bipolar Disorder,0.95,269,16
5167,0.425,0.913,Type 2 Diabetes,0.95,270,0
8660,0.499,0.826,Type 2 Diabetes,0.95,271,0
29978,0.569,0.913,Amyotrophic Lateral Sclerosis (ALS),0.95,272,8
26191,0.435,0.957,Systemic lupus erythematosus,0.95,93,15
9217,0.596,0.696,Amyotrophic Lateral Sclerosis (ALS),0.95,273,8
2212,0.452,0.87,Systemic lupus erythematosus,0.95,274,15
6514,0.497,0.913,Type 2 Diabetes,0.95,275,0
2213,0.501,0.87,Systemic lupus erythematosus,0.95,276,15
7849,0.427,0.87,Hypothyroidism,0.95,277,18
7466,0.504,0.913,Type 2 Diabetes,0.95,278,0
79147,0.492,0.783,Duchenne Muscular Dystrophy,0.95,279,9
3663,0.424,0.87,Rheumatoid arthritis,0.95,118,10
203859,0.564,0.739,Duchenne Muscular Dystrophy,0.95,280,9
4846,0.361,1.0,Alzheimer Disease,0.95,130,2
55024,0.584,0.783,Systemic lupus erythematosus,0.95,281,15
825,0.551,0.826,Duchenne Muscular Dystrophy,0.95,282,9
2903,0.476,0.957,Bipolar Disorder,0.95,244,16
7273,0.447,0.913,Duchenne Muscular Dystrophy,0.95,283,9
4261,0.507,0.87,Rheumatoid arthritis,0.95,284,10
25978,0.562,0.696,Amyotrophic Lateral Sclerosis (ALS),0.95,285,8
3953,0.413,0.957,Type 2 Diabetes,0.9000000000000001,286,0
4544,0.55,0.913,Type 2 Diabetes,0.9000000000000001,287,0
720,0.471,0.913,Systemic lupus erythematosus,0.9000000000000001,288,15
7253,0.436,0.913,Hypothyroidism,0.9000000000000001,289,18
2904,0.423,0.957,Epilepsies,0.9000000000000001,69,13
9378,0.528,0.913,Schizophrenias,0.9000000000000001,290,14
2903,0.476,0.957,Schizophrenias,0.9000000000000001,244,14
4855,0.499,0.913,Schizophrenias,0.9000000000000001,291,14
721,0.478,0.87,Systemic lupus erythematosus,0.9000000000000001,292,15
6528,0.485,0.87,Hypothyroidism,0.9000000000000001,293,18
4750,0.512,0.913,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,294,8
64478,0.553,0.87,Schizophrenias,0.9000000000000001,295,14
6442,0.573,0.739,Duchenne Muscular Dystrophy,0.9000000000000001,296,9
2212,0.452,0.87,Rheumatoid arthritis,0.9000000000000001,274,10
341,0.521,0.783,Alzheimer Disease,0.9000000000000001,297,2
54894,0.521,0.783,Colorectal Cancer,0.9000000000000001,298,7
23274,0.576,0.783,Type 1 Diabetes,0.9000000000000001,299,3
288,0.539,0.913,Schizophrenias,0.9000000000000001,269,14
5428,0.436,0.957,Epilepsies,0.9000000000000001,300,13
4361,0.504,0.87,Breast Cancer,0.9000000000000001,301,1
5630,0.547,0.783,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,302,8
57679,0.598,0.696,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,303,8
6583,0.446,0.913,Rheumatoid arthritis,0.9000000000000001,304,10
9739,0.564,0.87,Schizophrenias,0.9000000000000001,305,14
2218,0.509,0.739,Duchenne Muscular Dystrophy,0.9000000000000001,306,9
10019,0.497,0.783,Type 1 Diabetes,0.9000000000000001,307,3
1610,0.556,0.913,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,234,8
23345,0.479,0.913,Bipolar Disorder,0.9000000000000001,308,16
5328,0.381,0.87,Alzheimer Disease,0.9000000000000001,309,2
93986,0.491,0.913,Schizophrenias,0.9000000000000001,310,14
23774,0.609,0.783,Schizophrenias,0.9000000000000001,311,14
10585,0.51,0.826,Duchenne Muscular Dystrophy,0.9000000000000001,312,9
478,0.491,0.87,Epilepsies,0.9000000000000001,313,13
9479,0.593,0.696,Type 2 Diabetes,0.9000000000000001,314,0
6854,0.62,0.826,Schizophrenias,0.9000000000000001,315,14
3159,0.464,0.87,Type 2 Diabetes,0.9000000000000001,316,0
2099,0.297,0.957,Breast Cancer,0.9,1,1
672,0.341,0.957,Breast Cancer,0.9,8,1
675,0.355,0.957,Breast Cancer,0.9,9,1
1588,0.364,0.957,Breast Cancer,0.9,178,1
1956,0.265,0.957,Breast Cancer,0.9,26,1
7157,0.256,0.957,Breast Cancer,0.9,21,1
5290,0.275,0.957,Breast Cancer,0.9,18,1
3845,0.283,0.913,Lung Cancer,0.9,11,19
4288,0.296,0.913,Breast Cancer,0.9,181,1
7157,0.256,0.957,Colorectal Cancer,0.9,21,7
5290,0.275,0.957,Colorectal Cancer,0.9,18,7
999,0.319,0.913,Breast Cancer,0.9,46,1
7040,0.264,0.913,Breast Cancer,0.9,82,1
5728,0.29,0.913,Breast Cancer,0.9,44,1
4582,0.323,0.957,Breast Cancer,0.9,317,1
4609,0.312,0.913,Breast Cancer,0.9,194,1
1499,0.278,0.913,Breast Cancer,0.9,27,1
472,0.352,0.913,Breast Cancer,0.9,48,1
2100,0.373,0.913,Breast Cancer,0.9,185,1
1019,0.379,0.913,Breast Cancer,0.9,318,1
