geneNcbiID,geneDSI,geneDPI,diseaseName,score,gene_index,disease_index
2906,0.452,0.957,Schizophrenias,1.0,66,13
348,0.326,0.957,Cardiovascular Diseases,1.0,6,14
2572,0.498,0.87,Type 1 Diabetes,1.0,67,2
7298,0.397,0.957,Colorectal Cancer,1.0,68,7
338,0.374,0.913,Type 2 Diabetes,1.0,69,0
79068,0.427,0.957,Type 2 Diabetes,1.0,70,0
3479,0.284,0.957,Type 2 Diabetes,1.0,71,0
169026,0.57,0.87,Type 2 Diabetes,1.0,72,0
56729,0.401,0.957,Type 2 Diabetes,1.0,73,0
7040,0.264,0.913,Colorectal Cancer,1.0,74,7
3667,0.453,0.913,Type 2 Diabetes,1.0,75,0
627,0.324,0.957,Bipolar Disorder,1.0,52,15
7124,0.226,0.957,Alzheimer Disease,1.0,16,3
7124,0.226,0.957,Systemic lupus erythematosus,1.0,16,16
3586,0.27,0.957,Systemic lupus erythematosus,1.0,76,16
6927,0.392,0.913,Type 2 Diabetes,1.0,77,0
4129,0.483,0.957,Parkinson Disease,1.0,78,4
5770,0.473,0.913,Type 2 Diabetes,1.0,79,0
3479,0.284,0.957,Type 1 Diabetes,1.0,71,2
1493,0.354,0.957,Type 1 Diabetes,1.0,80,2
5563,0.386,0.913,Type 2 Diabetes,1.0,81,0
2263,0.342,0.913,Breast Cancer,1.0,82,1
26191,0.435,0.957,Rheumatoid arthritis,1.0,83,10
3767,0.479,0.87,Type 2 Diabetes,1.0,84,0
4893,0.351,0.87,Colorectal Cancer,1.0,85,7
6326,0.451,0.913,Epilepsies,1.0,86,12
5798,0.582,0.696,Type 1 Diabetes,1.0,87,2
183,0.339,0.957,Cardiovascular Diseases,1.0,88,14
2668,0.423,0.913,Parkinson Disease,1.0,89,4
627,0.324,0.957,Parkinson Disease,1.0,52,4
355,0.33,0.913,Systemic lupus erythematosus,1.0,90,16
3356,0.436,0.913,Schizophrenias,1.0,91,13
7124,0.226,0.957,Type 1 Diabetes,1.0,16,2
54901,0.585,0.696,Type 2 Diabetes,1.0,92,0
2688,0.314,0.957,Type 1 Diabetes,1.0,93,2
1636,0.306,0.957,Type 1 Diabetes,1.0,40,2
5950,0.438,0.913,Type 2 Diabetes,1.0,94,0
3553,0.265,0.957,Alzheimer Disease,1.0,95,3
4089,0.367,0.87,Colorectal Cancer,1.0,96,7
3784,0.448,0.957,Type 2 Diabetes,1.0,97,0
3569,0.233,0.957,Colorectal Cancer,1.0,59,7
3553,0.265,0.957,Type 2 Diabetes,1.0,95,0
3172,0.438,0.913,Type 2 Diabetes,1.0,98,0
3785,0.497,0.87,Epilepsies,1.0,99,12
1814,0.478,0.913,Schizophrenias,1.0,100,13
1605,0.46,0.913,Duchenne Muscular Dystrophy,1.0,101,9
2550,0.422,0.957,Schizophrenias,1.0,102,13
3458,0.271,1.0,Rheumatoid arthritis,1.0,103,10
26191,0.435,0.957,Type 1 Diabetes,1.0,83,2
7042,0.308,0.913,Colorectal Cancer,1.0,104,7
6462,0.394,0.957,Type 2 Diabetes,1.0,105,0
3663,0.425,0.87,Systemic lupus erythematosus,1.0,106,16
51738,0.37,0.957,Type 2 Diabetes,1.0,107,0
1139,0.457,0.957,Schizophrenias,1.0,108,13
3265,0.346,0.913,Breast Cancer,1.0,109,1
3558,0.297,0.957,Systemic lupus erythematosus,1.0,110,16
627,0.324,0.957,Huntington Disease,1.0,52,6
595,0.314,0.957,Colorectal Cancer,1.0,111,7
91752,0.625,0.609,Schizophrenias,1.0,112,13
207,0.283,0.957,Type 2 Diabetes,1.0,23,0
6334,0.425,0.957,Epilepsies,1.0,113,12
3586,0.27,0.957,Rheumatoid arthritis,1.0,76,10
6517,0.499,0.826,Type 2 Diabetes,1.0,114,0
5888,0.43,0.913,Breast Cancer,1.0,115,1
8291,0.532,0.87,Duchenne Muscular Dystrophy,1.0,116,9
55737,0.599,0.783,Parkinson Disease,1.0,117,4
2066,0.4,0.957,Schizophrenias,1.0,118,13
6223,0.464,0.913,Sickle Cell Anemia,1.0,119,17
5243,0.326,0.957,Epilepsies,1.0,120,12
6928,0.408,0.913,Type 2 Diabetes,1.0,121,0
1401,0.252,1.0,Systemic lupus erythematosus,1.0,122,16
4846,0.361,1.0,Cardiovascular Diseases,1.0,123,14
10133,0.531,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,124,8
4846,0.361,1.0,Type 2 Diabetes,1.0,123,0
10891,0.419,0.957,Type 2 Diabetes,1.0,125,0
7124,0.226,0.957,Schizophrenias,1.0,16,13
3479,0.284,0.957,Alzheimer Disease,1.0,71,3
10347,0.577,0.696,Alzheimer Disease,1.0,126,3
1806,0.452,0.913,Colorectal Cancer,1.0,127,7
3119,0.422,0.957,Type 1 Diabetes,1.0,128,2
83990,0.484,0.87,Breast Cancer,1.0,129,1
4023,0.428,0.87,Type 2 Diabetes,1.0,130,0
177,0.387,0.913,Type 2 Diabetes,1.0,131,0
1029,0.31,0.913,Colorectal Cancer,1.0,132,7
332,0.355,0.913,Colorectal Cancer,1.0,133,7
3458,0.271,1.0,Type 1 Diabetes,1.0,103,2
4929,0.476,0.913,Parkinson Disease,1.0,134,4
2896,0.402,0.913,Alzheimer Disease,1.0,51,3
197,0.445,0.913,Type 2 Diabetes,1.0,135,0
6532,0.392,0.957,Bipolar Disorder,1.0,136,15
4000,0.373,0.913,Duchenne Muscular Dystrophy,1.0,137,9
580,0.547,0.783,Breast Cancer,1.0,138,1
51284,0.436,0.913,Systemic lupus erythematosus,1.0,139,16
3651,0.499,0.826,Type 2 Diabetes,1.0,140,0
2646,0.538,0.826,Type 2 Diabetes,1.0,141,0
1312,0.381,0.957,Bipolar Disorder,1.0,56,15
1493,0.354,0.957,Systemic lupus erythematosus,1.0,80,16
3559,0.38,0.957,Type 1 Diabetes,1.0,142,2
4744,0.515,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,143,8
4760,0.468,0.957,Type 2 Diabetes,1.0,144,0
958,0.389,0.957,Rheumatoid arthritis,1.0,145,10
640,0.553,0.826,Systemic lupus erythematosus,1.0,146,16
8878,0.433,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,147,8
7040,0.264,0.913,Cystic Fibrosis,1.0,74,5
3908,0.491,0.913,Duchenne Muscular Dystrophy,1.0,148,9
50943,0.369,0.957,Type 1 Diabetes,1.0,149,2
11277,0.48,0.826,Systemic lupus erythematosus,1.0,150,16
3990,0.485,0.87,Type 2 Diabetes,1.0,151,0
1773,0.485,0.87,Systemic lupus erythematosus,1.0,152,16
5078,0.612,0.739,Type 2 Diabetes,1.0,153,0
23025,0.603,0.826,Amyotrophic Lateral Sclerosis (ALS),1.0,154,8
4843,0.333,1.0,Type 2 Diabetes,1.0,155,0
208,0.46,0.87,Type 2 Diabetes,1.0,156,0
6444,0.571,0.826,Duchenne Muscular Dystrophy,1.0,157,9
6445,0.576,0.826,Duchenne Muscular Dystrophy,1.0,158,9
5506,0.541,0.913,Type 2 Diabetes,1.0,159,0
10891,0.419,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,125,8
6443,0.434,0.913,Duchenne Muscular Dystrophy,1.0,160,9
65078,0.589,0.826,Schizophrenias,1.0,161,13
5133,0.324,0.957,Systemic lupus erythematosus,1.0,162,16
26047,0.468,0.913,Schizophrenias,1.0,163,13
1380,0.474,0.87,Systemic lupus erythematosus,1.0,164,16
2571,0.503,0.957,Bipolar Disorder,1.0,165,15
2641,0.353,0.957,Type 2 Diabetes,0.95,166,0
1588,0.364,0.957,Breast Cancer,0.95,167,1
5241,0.364,0.913,Breast Cancer,0.95,168,1
3039,0.256,1.0,Type 2 Diabetes,0.95,169,0
1956,0.266,0.957,Breast Cancer,0.95,26,1
207,0.283,0.957,Breast Cancer,0.95,23,1
4288,0.296,0.913,Breast Cancer,0.95,170,1
3479,0.284,0.957,Breast Cancer,0.95,71,1
3569,0.233,0.957,Rheumatoid arthritis,0.95,59,10
1950,0.313,0.913,Breast Cancer,0.95,171,1
1756,0.409,0.913,Duchenne Muscular Dystrophy,0.95,14,9
367,0.332,0.957,Breast Cancer,0.95,172,1
1436,0.335,0.957,Alzheimer Disease,0.95,173,3
627,0.324,0.957,Schizophrenias,0.95,52,13
2100,0.373,0.913,Breast Cancer,0.95,174,1
1636,0.306,0.957,Cardiovascular Diseases,0.95,40,14
23435,0.465,0.957,Frontotemporal dementia,0.95,20,11
142,0.366,0.957,Breast Cancer,0.95,175,1
6774,0.314,0.913,Breast Cancer,0.95,176,1
3480,0.349,0.913,Breast Cancer,0.95,177,1
3952,0.312,0.957,Breast Cancer,0.95,45,1
6531,0.431,0.957,Parkinson Disease,0.95,178,4
5743,0.323,0.957,Colorectal Cancer,0.95,179,7
6714,0.381,0.957,Breast Cancer,0.95,180,1
7124,0.226,0.957,Breast Cancer,0.95,16,1
84062,0.553,0.826,Schizophrenias,0.95,181,13
1191,0.39,0.913,Alzheimer Disease,0.95,182,3
2905,0.465,0.957,Schizophrenias,0.95,183,13
338,0.374,0.913,Cardiovascular Diseases,0.95,69,14
2064,0.298,0.957,Colorectal Cancer,0.95,2,7
7424,0.322,0.957,Breast Cancer,0.95,184,1
999,0.319,0.913,Colorectal Cancer,0.95,44,7
4609,0.312,0.913,Colorectal Cancer,0.95,185,7
2475,0.29,0.957,Colorectal Cancer,0.95,41,7
2244,0.336,0.957,Cardiovascular Diseases,0.95,186,14
7054,0.446,0.913,Parkinson Disease,0.95,187,4
332,0.355,0.913,Breast Cancer,0.95,133,1
26291,0.429,0.957,Type 2 Diabetes,0.95,188,0
1565,0.415,1.0,Breast Cancer,0.95,189,1
5728,0.29,0.913,Colorectal Cancer,0.95,42,7
2956,0.434,0.913,Colorectal Cancer,0.95,190,7
7421,0.336,0.957,Breast Cancer,0.95,191,1
1636,0.306,0.957,Alzheimer Disease,0.95,40,3
2950,0.365,0.957,Breast Cancer,0.95,192,1
6653,0.545,0.783,Alzheimer Disease,0.95,193,3
213,0.278,0.957,Cardiovascular Diseases,0.95,194,14
7423,0.331,0.957,Breast Cancer,0.95,195,1
5465,0.391,0.913,Type 2 Diabetes,0.95,196,0
3569,0.233,0.957,Systemic lupus erythematosus,0.95,59,16
5649,0.452,0.957,Schizophrenias,0.95,197,13
1029,0.31,0.913,Breast Cancer,0.95,132,1
2569,0.43,0.957,Schizophrenias,0.95,198,13
775,0.413,0.957,Bipolar Disorder,0.95,199,15
4851,0.348,0.957,Breast Cancer,0.95,200,1
9429,0.378,0.913,Breast Cancer,0.95,201,1
23569,0.497,0.87,Rheumatoid arthritis,0.95,202,10
6387,0.367,0.913,Breast Cancer,0.95,203,1
857,0.375,0.913,Breast Cancer,0.95,204,1
3845,0.283,0.913,Breast Cancer,0.95,11,1
1543,0.4,0.957,Breast Cancer,0.95,205,1
7431,0.341,0.913,Breast Cancer,0.95,206,1
11132,0.582,0.696,Type 2 Diabetes,0.95,207,0
5888,0.43,0.913,Breast Cancer,0.95,115,1
3791,0.351,0.957,Breast Cancer,0.95,208,1
596,0.3,0.913,Colorectal Cancer,0.95,209,7
5468,0.334,0.957,Alzheimer Disease,0.95,30,3
10413,0.374,0.913,Breast Cancer,0.95,210,1
3117,0.444,0.913,Type 1 Diabetes,0.95,211,2
6615,0.435,0.957,Breast Cancer,0.95,212,1
6790,0.417,0.913,Breast Cancer,0.95,213,1
3169,0.477,0.913,Breast Cancer,0.95,214,1
1440,0.299,0.957,Breast Cancer,0.95,215,1
3569,0.233,0.957,Schizophrenias,0.95,59,13
4524,0.338,0.913,Cardiovascular Diseases,0.95,216,14
23400,0.535,0.826,Parkinson Disease,0.95,217,4
7124,0.226,0.957,Colorectal Cancer,0.95,16,7
3553,0.265,0.957,Breast Cancer,0.95,95,1
7422,0.247,0.957,Rheumatoid arthritis,0.95,218,10
3458,0.271,1.0,Breast Cancer,0.95,103,1
1312,0.381,0.957,Breast Cancer,0.95,56,1
2260,0.339,0.957,Breast Cancer,0.95,219,1
207,0.283,0.957,Schizophrenias,0.95,23,13
5020,0.413,0.957,Schizophrenias,0.95,220,13
7153,0.474,0.87,Breast Cancer,0.95,221,1
2194,0.426,0.957,Breast Cancer,0.95,222,1
7415,0.445,0.957,Amyotrophic Lateral Sclerosis (ALS),0.95,223,8
712,0.458,0.913,Systemic lupus erythematosus,0.95,224,16
3557,0.353,0.957,Rheumatoid arthritis,0.95,225,10
3569,0.233,0.957,Type 1 Diabetes,0.95,59,2
3586,0.27,0.957,Type 2 Diabetes,0.95,76,0
7040,0.264,0.913,Type 2 Diabetes,0.95,74,0
1610,0.556,0.913,Schizophrenias,0.95,226,13
7422,0.247,0.957,Alzheimer Disease,0.95,218,3
2642,0.599,0.696,Type 2 Diabetes,0.95,227,0
3416,0.575,0.826,Type 2 Diabetes,0.95,228,0
4353,0.358,0.957,Cardiovascular Diseases,0.95,229,14
6647,0.334,1.0,Type 2 Diabetes,0.95,12,0
1644,0.484,0.957,Parkinson Disease,0.95,230,4
5426,0.475,0.87,Colorectal Cancer,0.95,231,7
10858,0.605,0.696,Alzheimer Disease,0.95,232,3
6571,0.514,0.826,Parkinson Disease,0.95,233,4
3358,0.506,0.826,Schizophrenias,0.95,234,13
2903,0.476,0.957,Epilepsies,0.95,235,12
6285,0.394,0.957,Schizophrenias,0.95,236,13
2915,0.494,0.957,Schizophrenias,0.95,237,13
948,0.409,0.913,Type 2 Diabetes,0.95,238,0
4204,0.405,0.957,Epilepsies,0.95,239,12
1639,0.56,0.652,Amyotrophic Lateral Sclerosis (ALS),0.95,240,8
4129,0.483,0.957,Alzheimer Disease,0.95,78,3
6720,0.449,0.913,Type 2 Diabetes,0.95,241,0
6648,0.353,1.0,Type 2 Diabetes,0.95,242,0
6513,0.38,0.913,Type 2 Diabetes,0.95,243,0
80339,0.504,0.826,Type 2 Diabetes,0.95,244,0
59067,0.435,0.913,Systemic lupus erythematosus,0.95,245,16
847,0.35,1.0,Type 2 Diabetes,0.95,246,0
958,0.389,0.957,Systemic lupus erythematosus,0.95,145,16
3586,0.27,0.957,Schizophrenias,0.95,76,13
6934,0.457,0.913,Colorectal Cancer,0.95,36,7
1401,0.252,1.0,Cardiovascular Diseases,0.95,122,14
5649,0.452,0.957,Bipolar Disorder,0.95,197,15
64135,0.41,0.913,Systemic lupus erythematosus,0.95,247,16
3162,0.343,0.957,Type 2 Diabetes,0.95,248,0
8313,0.489,0.87,Colorectal Cancer,0.95,249,7
5743,0.323,0.957,Cardiovascular Diseases,0.95,179,14
4988,0.445,0.957,Schizophrenias,0.95,250,13
2876,0.423,0.913,Cardiovascular Diseases,0.95,251,14
1116,0.377,0.957,Schizophrenias,0.95,252,13
6833,0.475,0.87,Type 2 Diabetes,0.95,253,0
6775,0.438,0.913,Systemic lupus erythematosus,0.95,254,16
7173,0.426,0.87,Hypothyroidism,0.95,255,18
4524,0.338,0.913,Schizophrenias,0.95,216,13
283,0.392,0.957,Amyotrophic Lateral Sclerosis (ALS),0.95,256,8
50506,0.497,0.913,Hypothyroidism,0.95,257,18
288,0.541,0.913,Bipolar Disorder,0.95,258,15
5167,0.426,0.913,Type 2 Diabetes,0.95,259,0
8660,0.502,0.826,Type 2 Diabetes,0.95,260,0
29978,0.569,0.913,Amyotrophic Lateral Sclerosis (ALS),0.95,261,8
26191,0.435,0.957,Systemic lupus erythematosus,0.95,83,16
9217,0.596,0.696,Amyotrophic Lateral Sclerosis (ALS),0.95,262,8
2212,0.452,0.87,Systemic lupus erythematosus,0.95,263,16
2213,0.502,0.87,Systemic lupus erythematosus,0.95,264,16
6514,0.498,0.913,Type 2 Diabetes,0.95,265,0
7849,0.427,0.87,Hypothyroidism,0.95,266,18
7466,0.504,0.913,Type 2 Diabetes,0.95,267,0
79147,0.492,0.783,Duchenne Muscular Dystrophy,0.95,268,9
3663,0.425,0.87,Rheumatoid arthritis,0.95,106,10
203859,0.563,0.739,Duchenne Muscular Dystrophy,0.95,269,9
4846,0.361,1.0,Alzheimer Disease,0.95,123,3
55024,0.584,0.783,Systemic lupus erythematosus,0.95,270,16
825,0.551,0.826,Duchenne Muscular Dystrophy,0.95,271,9
2903,0.476,0.957,Bipolar Disorder,0.95,235,15
7273,0.448,0.913,Duchenne Muscular Dystrophy,0.95,272,9
4261,0.508,0.87,Rheumatoid arthritis,0.95,273,10
25978,0.562,0.696,Amyotrophic Lateral Sclerosis (ALS),0.95,274,8
5444,0.408,1.0,Amyotrophic Lateral Sclerosis (ALS),0.95,275,8
3953,0.412,0.957,Type 2 Diabetes,0.9000000000000001,276,0
4544,0.551,0.913,Type 2 Diabetes,0.9000000000000001,277,0
6311,0.483,0.957,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,278,8
720,0.471,0.913,Systemic lupus erythematosus,0.9000000000000001,279,16
7253,0.438,0.913,Hypothyroidism,0.9000000000000001,280,18
2904,0.423,0.957,Epilepsies,0.9000000000000001,64,12
9378,0.529,0.913,Schizophrenias,0.9000000000000001,281,13
2903,0.476,0.957,Schizophrenias,0.9000000000000001,235,13
4855,0.5,0.913,Schizophrenias,0.9000000000000001,282,13
721,0.478,0.87,Systemic lupus erythematosus,0.9000000000000001,283,16
6528,0.485,0.87,Hypothyroidism,0.9000000000000001,284,18
64478,0.553,0.87,Schizophrenias,0.9000000000000001,285,13
6442,0.573,0.739,Duchenne Muscular Dystrophy,0.9000000000000001,286,9
4750,0.511,0.913,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,287,8
2212,0.452,0.87,Rheumatoid arthritis,0.9000000000000001,263,10
341,0.523,0.783,Alzheimer Disease,0.9000000000000001,288,3
54894,0.522,0.783,Colorectal Cancer,0.9000000000000001,289,7
23274,0.578,0.783,Type 1 Diabetes,0.9000000000000001,290,2
288,0.541,0.913,Schizophrenias,0.9000000000000001,258,13
5428,0.436,0.957,Epilepsies,0.9000000000000001,291,12
5630,0.547,0.783,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,292,8
4361,0.505,0.87,Breast Cancer,0.9000000000000001,293,1
57679,0.598,0.696,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,294,8
6583,0.446,0.913,Rheumatoid arthritis,0.9000000000000001,295,10
9739,0.564,0.87,Schizophrenias,0.9000000000000001,296,13
2218,0.509,0.739,Duchenne Muscular Dystrophy,0.9000000000000001,297,9
1610,0.556,0.913,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,226,8
10019,0.497,0.783,Type 1 Diabetes,0.9000000000000001,298,2
23345,0.479,0.913,Bipolar Disorder,0.9000000000000001,299,15
5328,0.382,0.87,Alzheimer Disease,0.9000000000000001,300,3
93986,0.491,0.913,Schizophrenias,0.9000000000000001,301,13
755,0.6,0.783,Amyotrophic Lateral Sclerosis (ALS),0.9000000000000001,302,8
23774,0.61,0.783,Schizophrenias,0.9000000000000001,303,13
478,0.492,0.87,Epilepsies,0.9000000000000001,304,12
9479,0.592,0.696,Type 2 Diabetes,0.9000000000000001,305,0
10585,0.51,0.826,Duchenne Muscular Dystrophy,0.9000000000000001,306,9
6854,0.622,0.826,Schizophrenias,0.9000000000000001,307,13
3159,0.465,0.87,Type 2 Diabetes,0.9000000000000001,308,0
2099,0.298,0.957,Breast Cancer,0.9,1,1
672,0.342,0.957,Breast Cancer,0.9,8,1
675,0.356,0.957,Breast Cancer,0.9,9,1
1956,0.266,0.957,Breast Cancer,0.9,26,1
7157,0.256,0.957,Breast Cancer,0.9,21,1
5290,0.276,0.957,Breast Cancer,0.9,18,1
3845,0.283,0.913,Lung Cancer,0.9,11,19
1401,0.252,1.0,Cardiovascular Diseases,0.9,122,14
7157,0.256,0.957,Colorectal Cancer,0.9,21,7
5290,0.276,0.957,Colorectal Cancer,0.9,18,7
3630,0.254,0.957,Alzheimer Disease,0.9,0,3
595,0.314,0.957,Breast Cancer,0.9,111,1
999,0.319,0.913,Breast Cancer,0.9,44,1
5728,0.29,0.913,Breast Cancer,0.9,42,1
1401,0.252,1.0,Rheumatoid arthritis,0.9,122,10
472,0.353,0.913,Breast Cancer,0.9,46,1
596,0.3,0.913,Breast Cancer,0.9,209,1
1019,0.38,0.913,Breast Cancer,0.9,309,1
6622,0.318,0.957,Alzheimer Disease,0.9,4,3
5243,0.326,0.957,Breast Cancer,0.9,120,1
5663,0.439,0.957,Alzheimer Disease,0.9,22,3
11200,0.421,0.913,Breast Cancer,0.9,57,1
9370,0.332,0.957,Cardiovascular Diseases,0.9,25,14
3084,0.432,0.913,Schizophrenias,0.9,310,13
4318,0.293,0.957,Breast Cancer,0.9,311,1
351,0.381,0.957,Alzheimer Disease,0.9,5,3
3091,0.321,0.957,Breast Cancer,0.9,312,1
3553,0.265,0.957,Rheumatoid arthritis,0.9,95,10
79728,0.455,0.87,Breast Cancer,0.9,61,1
5743,0.323,0.957,Breast Cancer,0.9,179,1
3569,0.233,0.957,Breast Cancer,0.9,59,1
7424,0.322,0.957,Breast Cancer,0.9,184,1
3605,0.309,0.957,Rheumatoid arthritis,0.9,313,10
4313,0.318,0.913,Breast Cancer,0.9,314,1
6774,0.314,0.913,Prostate Cancer,0.9,176,20
673,0.29,0.957,Lung Cancer,0.9,24,19
1813,0.401,0.957,Parkinson Disease,0.9,54,4
6387,0.367,0.913,Breast Cancer,0.9,203,1
4292,0.383,0.913,Colorectal Cancer,0.9,35,7
3845,0.283,0.913,Breast Cancer,0.9,11,1
857,0.375,0.913,Breast Cancer,0.9,204,1
8301,0.555,0.783,Alzheimer Disease,0.9,315,3
274,0.516,0.913,Alzheimer Disease,0.9,316,3
6794,0.401,0.913,Lung Cancer,0.9,317,19
267012,0.623,0.522,Schizophrenias,0.9,318,13
2904,0.423,0.957,Alzheimer Disease,0.9,64,3
775,0.413,0.957,Schizophrenias,0.9,199,13
7291,0.371,0.913,Breast Cancer,0.9,319,1
3558,0.297,0.957,Rheumatoid arthritis,0.9,110,10
177,0.387,0.913,Alzheimer Disease,0.9,131,3
3558,0.297,0.957,Type 1 Diabetes,0.9,110,2
3553,0.265,0.957,Type 1 Diabetes,0.9,95,2
3570,0.419,0.87,Rheumatoid arthritis,0.9,320,10
7253,0.438,0.913,Hypothyroidism,0.9,280,18
7402,0.589,0.826,Duchenne Muscular Dystrophy,0.9,321,9
4313,0.318,0.913,Colorectal Cancer,0.9,314,7
3290,0.491,0.957,Type 2 Diabetes,0.9,322,0
627,0.324,0.957,Epilepsies,0.9,52,12
6531,0.431,0.957,Schizophrenias,0.9,178,13
945,0.501,0.739,Alzheimer Disease,0.9,323,3
5444,0.408,1.0,Type 2 Diabetes,0.9,275,0
959,0.382,0.957,Systemic lupus erythematosus,0.9,324,16
207,0.283,0.957,Parkinson Disease,0.9,23,4
3458,0.271,1.0,Type 2 Diabetes,0.9,103,0
3383,0.328,0.957,Type 2 Diabetes,0.9,325,0
1906,0.347,0.957,Type 2 Diabetes,0.9,326,0
2566,0.474,0.913,Epilepsies,0.9,327,12
7099,0.321,0.957,Type 2 Diabetes,0.9,328,0
581,0.364,0.913,Colorectal Cancer,0.9,329,7
6647,0.334,1.0,Parkinson Disease,0.9,12,4
3553,0.265,0.957,Systemic lupus erythematosus,0.9,95,16
6812,0.493,0.826,Epilepsies,0.9,330,12
3586,0.27,0.957,Type 1 Diabetes,0.9,76,2
718,0.413,0.913,Systemic lupus erythematosus,0.9,331,16
3375,0.504,0.87,Type 1 Diabetes,0.9,43,2
3791,0.351,0.957,Colorectal Cancer,0.9,208,7
1401,0.252,1.0,Type 1 Diabetes,0.9,122,2
